ID,CrimeCode,Description,Weapon,Incidents
185329,4C,O,OTHER,1
185336,4E,I,HANDS,1
185337,4E,O,HANDS,1
185339,4E,I,HANDS,1
185341,4E,I,HANDS,1
185343,4E,I,HANDS,1
185344,3AF,O,FIREARM,1
185347,3AF,O,FIREARM,1
185348,4E,I,HANDS,1
185349,4B,I,KNIFE,1
185352,4E,O,HANDS,1
185354,4B,O,KNIFE,1
185357,4E,I,HANDS,1
185360,4E,I,HANDS,1
185361,4E,I,HANDS,1
185363,3CF,I,FIREARM,1
185364,4A,O,FIREARM,1
185366,4E,I,HANDS,1
185369,4D,I,HANDS,1
185372,4E,I,HANDS,1
185373,4C,O,OTHER,1
185374,4E,I,HANDS,1
185375,4D,O,HANDS,1
185376,4B,I,KNIFE,1
185377,3AF,O,FIREARM,1
185378,4B,I,KNIFE,1
185384,4E,I,HANDS,1
185391,4E,I,HANDS,1
185397,4E,I,HANDS,1
185406,4B,I,KNIFE,1
185408,4E,I,HANDS,1
185410,4E,,HANDS,1
185411,4C,,OTHER,1
185420,4E,I,HANDS,1
185421,4E,I,HANDS,1
185426,4E,I,HANDS,1
185431,4E,I,HANDS,1
185433,4C,O,OTHER,1
185436,4E,O,HANDS,1
185438,4E,I,HANDS,1
185442,4E,I,HANDS,1
185443,3AF,O,FIREARM,1
185447,4E,I,HANDS,1
185448,4C,I,OTHER,1
185453,4E,I,HANDS,1
185457,4B,I,KNIFE,1
185458,4E,I,HANDS,1
185466,4E,I,HANDS,1
185467,4E,O,HANDS,1
185469,4E,O,HANDS,1
185473,4C,I,OTHER,1
185474,4E,I,HANDS,1
185476,4E,I,HANDS,1
185482,4E,O,HANDS,1
185490,4E,O,HANDS,1
185492,3AF,O,FIREARM,1
185493,3AF,O,FIREARM,1
185495,3AF,O,FIREARM,1
185497,4E,O,HANDS,1
185501,4E,O,HANDS,1
185503,4E,I,HANDS,1
185506,4D,I,HANDS,1
185507,4E,O,HANDS,1
185508,3AF,O,FIREARM,1
185509,3AF,O,FIREARM,1
185510,1F,O,FIREARM,1
185516,4E,O,HANDS,1
185519,4E,O,HANDS,1
185520,4A,O,FIREARM,1
185523,9S,O,FIREARM,1
185524,4A,O,FIREARM,1
185526,4E,I,HANDS,1
185527,4A,O,FIREARM,1
185528,4B,O,KNIFE,1
185529,3AK,O,KNIFE,1
185532,4E,I,HANDS,1
185533,4E,I,HANDS,1
185534,4E,I,HANDS,1
185538,2A,I,OTHER,1
185550,4E,I,HANDS,1
185557,4E,I,HANDS,1
185559,4E,O,HANDS,1
185561,4E,I,HANDS,1
185563,3CF,I,FIREARM,1
185564,4E,O,HANDS,1
185568,4E,I,HANDS,1
185575,4E,I,HANDS,1
185577,4E,I,HANDS,1
185582,4E,O,HANDS,1
185587,4E,O,HANDS,1
185588,3AF,O,FIREARM,1
185594,4E,O,HANDS,1
185600,4E,O,HANDS,1
185606,4B,O,KNIFE,1
185610,4B,O,KNIFE,1
185618,4E,O,HANDS,1
185620,4D,O,HANDS,1
185622,4E,I,HANDS,1
185625,4E,I,HANDS,1
185627,4E,O,HANDS,1
185631,4E,O,HANDS,1
185635,4C,O,OTHER,1
185637,4B,I,KNIFE,1
185641,3AF,O,FIREARM,1
185642,4E,I,HANDS,1
185646,4B,I,KNIFE,1
185647,4B,I,KNIFE,1
185649,4E,I,HANDS,1
185652,4E,I,HANDS,1
185653,4E,I,HANDS,1
185654,4E,O,HANDS,1
185655,4E,I,HANDS,1
